stem,source,precision,recall,lift,original_words
emiss,seed,1.0,0.43478260869565216,,"emission, emissions"
underpin,seed,1.0,0.391304347826087,,underpin
synergi,seed,1.0,0.391304347826087,,synergies
environmentally,seed,1.0,0.34782608695652173,,environmentally
urban,seed,1.0,0.30434782608695654,,urban
themat,seed,1.0,0.30434782608695654,,thematic
greenhous,seed,1.0,0.30434782608695654,,greenhouse
ex-post,seed,1.0,0.2608695652173913,,ex-post
biodiversity,seed,1.0,0.2608695652173913,,biodiversity
overarch,seed,1.0,0.2608695652173913,,overarching
summit,seed,1.0,0.2608695652173913,,summit
household,seed,1.0,0.21739130434782608,,"household, households"
efficiently,seed,1.0,0.21739130434782608,,efficiently
feasibility,seed,1.0,0.21739130434782608,,feasibility
forthcom,seed,1.0,0.21739130434782608,,forthcoming
applianc,seed,1.0,0.21739130434782608,,appliances
uptak,seed,1.0,0.21739130434782608,,uptake
public-priv,seed,1.0,0.21739130434782608,,public-private
disciplin,seed,1.0,0.17391304347826086,,"discipline, disciplines"
transboundary,seed,1.0,0.17391304347826086,,transboundary
preferr,seed,1.0,0.17391304347826086,,"preferred, preferring"
prototyp,seed,1.0,0.17391304347826086,,"prototype, prototypes, prototyping"
resource-effici,seed,1.0,0.17391304347826086,,resource-efficient
rtd,seed,1.0,0.17391304347826086,,rtd
multi-annu,seed,1.0,0.17391304347826086,,multi-annual
neighbour,seed,1.0,0.17391304347826086,,"neighbouring, neighbours"
upcom,seed,1.0,0.17391304347826086,,upcoming
mitigat,seed,1.0,0.17391304347826086,,mitigating
drink,seed,1.0,0.17391304347826086,,"drinking, drinks"
atmospher,seed,1.0,0.17391304347826086,,"atmosphere, atmospheric"
shortcom,seed,1.0,0.17391304347826086,,shortcomings
viabl,seed,1.0,0.17391304347826086,,viable
farm,seed,1.0,0.17391304347826086,,"farm, farming, farms"
maritim,seed,1.0,0.17391304347826086,,maritime
switch,seed,1.0,0.17391304347826086,,"switch, switching"
harm,seed,1.0,0.17391304347826086,,"harm, harmful"
disast,seed,1.0,0.13043478260869565,,"disaster, disasters"
sludg,seed,1.0,0.13043478260869565,,sludge
subsidi,seed,1.0,0.13043478260869565,,subsidies
entrepreneurship,seed,1.0,0.13043478260869565,,entrepreneurship
asylum,seed,1.0,0.13043478260869565,,asylum
terror,seed,1.0,0.13043478260869565,,terrorism
deeper,seed,1.0,0.13043478260869565,,deeper
ghg,seed,1.0,0.13043478260869565,,ghg
firmly,seed,1.0,0.13043478260869565,,firmly
biodegrad,seed,1.0,0.13043478260869565,,biodegradable
policy-mak,seed,1.0,0.13043478260869565,,policy-making
landfil,seed,1.0,0.13043478260869565,,"landfill, landfilling, landfills"
