stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words
merit-bas,9999.0,187,0,0.039418212478920744,0.0,merit-based
upskil,9999.0,170,0,0.03583473861720068,0.0,"upskill, upskilled, upskilling, upskills"
lesbian,9999.0,154,0,0.03246205733558179,0.0,"lesbian, lesbians"
pifc,9999.0,150,0,0.031618887015177066,0.0,pifc
transgend,9999.0,147,0,0.030986509274873526,0.0,"transgender, transgendered"
leaver,9999.0,146,0,0.030775716694772345,0.0,leavers
disinform,9999.0,136,0,0.02866779089376054,0.0,"disinform, disinformation"
rulebook,9999.0,135,0,0.02845699831365936,0.0,"rulebook, rulebooks"
subdu,9999.0,124,0,0.026138279932546374,0.0,"subdue, subdued, subduing"
hydromorpholog,9999.0,122,0,0.025716694772344013,0.0,"hydromorphologic, hydromorphological"
penitentiary,9999.0,121,0,0.025505902192242833,0.0,penitentiary
eu-support,9999.0,115,0,0.024241146711635752,0.0,"eu-support, eu-supported"
straighten,9999.0,114,0,0.024030354131534568,0.0,"straightened, straightener, straighteners, straightening"
inmat,9999.0,106,0,0.022344013490725127,0.0,"inmate, inmates"
telemedicin,9999.0,105,0,0.022133220910623946,0.0,telemedicine
self-censorship,9999.0,103,0,0.021711635750421586,0.0,self-censorship
ethnicity,9999.0,103,0,0.021711635750421586,0.0,ethnicity
under-repres,9999.0,101,0,0.021290050590219226,0.0,"under-represent, under-represented, under-representing, under-represents"
geospati,9999.0,100,0,0.021079258010118045,0.0,geospatial
gini,9999.0,100,0,0.021079258010118045,0.0,"gini, ginis"
anticorrupt,9999.0,97,0,0.0204468802698145,0.0,anticorruption
ustain,9999.0,97,0,0.0204468802698145,0.0,"ustain, ustainable, ustained"
lawsuit,9999.0,96,0,0.02023608768971332,0.0,"lawsuit, lawsuits"
afco,9999.0,96,0,0.02023608768971332,0.0,"afco, afcos"
payrol,9999.0,95,0,0.02002529510961214,0.0,"payroll, payrolls"
check-rail,9999.0,94,0,0.01981450252951096,0.0,check-rails
rrp,9999.0,92,0,0.0193929173693086,0.0,"rrp, rrps"
paf,9999.0,91,0,0.01918212478920742,0.0,"paf, pafs"
research-and-innov,9999.0,90,0,0.01897133220910624,0.0,research-and-innovation
climate-proof,9999.0,89,0,0.01876053962900506,0.0,"climate-proof, climate-proofed, climate-proofing"
eutr,9999.0,89,0,0.01876053962900506,0.0,eutr
macro-fisc,9999.0,87,0,0.0183389544688027,0.0,macro-fiscal
country-level,9999.0,86,0,0.01812816188870152,0.0,country-level
necd,9999.0,86,0,0.01812816188870152,0.0,necd
empl,9999.0,85,0,0.01791736930860034,0.0,empl
eep,9999.0,84,0,0.01770657672849916,0.0,"eep, eeping, eeps"
lgbti,9999.0,83,0,0.017495784148397975,0.0,"lgbti, lgbtis"
env-eir,9999.0,83,0,0.017495784148397975,0.0,env-eir
rights-bas,9999.0,81,0,0.017074198988195614,0.0,rights-based
gbaord,9999.0,80,0,0.016863406408094434,0.0,gbaord
joined-up,9999.0,80,0,0.016863406408094434,0.0,joined-up
ppa,9999.0,79,0,0.016652613827993254,0.0,"ppa, ppas"
stroboscop,9999.0,79,0,0.016652613827993254,0.0,"stroboscope, stroboscopes, stroboscopic"
corruption-relat,9999.0,78,0,0.016441821247892074,0.0,corruption-related
eufor,9999.0,76,0,0.016020236087689713,0.0,"eufor, euforic"
electrochem,9999.0,75,0,0.015809443507588533,0.0,electrochemical
carbonac,9999.0,75,0,0.015809443507588533,0.0,carbonaceous
biomethan,9999.0,74,0,0.015598650927487353,0.0,"biomethane, biomethanization"
hygromet,9999.0,74,0,0.015598650927487353,0.0,hygrometers
nvestment,9999.0,73,0,0.015387858347386173,0.0,"nvestment, nvestments"
re-skil,9999.0,72,0,0.01517706576728499,0.0,"re-skill, re-skilling"
snap-fasten,9999.0,72,0,0.01517706576728499,0.0,snap-fasteners
nanoelectron,9999.0,72,0,0.01517706576728499,0.0,"nanoelectronic, nanoelectronics"
flashbulb,9999.0,72,0,0.01517706576728499,0.0,flashbulbs
igur,9999.0,71,0,0.01496627318718381,0.0,"igure, igures"
taiex-eir,9999.0,71,0,0.01496627318718381,0.0,taiex-eir
photomicrography,9999.0,71,0,0.01496627318718381,0.0,photomicrography
sandbox,9999.0,71,0,0.01496627318718381,0.0,"sandbox, sandboxe, sandboxes, sandboxing"
hardest,9999.0,71,0,0.01496627318718381,0.0,hardest
mckinsei,9999.0,70,0,0.01475548060708263,0.0,mckinsey
scintigraph,9999.0,70,0,0.01475548060708263,0.0,scintigraphic
cohesiondata,9999.0,70,0,0.01475548060708263,0.0,cohesiondata
ink-pad,9999.0,70,0,0.01475548060708263,0.0,ink-pads
psychromet,9999.0,69,0,0.01454468802698145,0.0,psychrometers
matchmak,9999.0,69,0,0.01454468802698145,0.0,"matchmake, matchmakers, matchmaking"
pedomet,9999.0,69,0,0.01454468802698145,0.0,pedometers
emfaf,9999.0,69,0,0.01454468802698145,0.0,emfaf
npl,9999.0,69,0,0.01454468802698145,0.0,"npl, npls"
user-ori,9999.0,68,0,0.01433389544688027,0.0,user-oriented
deinstitutionalis,9999.0,68,0,0.01433389544688027,0.0,"deinstitutionalisation, deinstitutionalise, deinstitutionalised"
cinephotomicrography,9999.0,68,0,0.01433389544688027,0.0,cinephotomicrography
marking-out,9999.0,68,0,0.01433389544688027,0.0,marking-out
de-institutionalis,9999.0,68,0,0.01433389544688027,0.0,"de-institutionalisation, de-institutionalise, de-institutionalised, de-institutionalising"
infancy,9999.0,67,0,0.01412310286677909,0.0,infancy
althea,9999.0,67,0,0.01412310286677909,0.0,althea
old-growth,9999.0,67,0,0.01412310286677909,0.0,old-growth
lgbtiq,9999.0,67,0,0.01412310286677909,0.0,lgbtiq
twitter,9999.0,67,0,0.01412310286677909,0.0,twitter
unvulcanis,9999.0,67,0,0.01412310286677909,0.0,unvulcanised
preschool,9999.0,67,0,0.01412310286677909,0.0,"preschool, preschools"
envicrimenet,9999.0,67,0,0.01412310286677909,0.0,envicrimenet
