stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words,classification,confidence,model,relevant,notes
nature-bas,9999.0,183,0,0.0501095290251916,0.0,"nature-base, nature-based",environmental,0.956,model,1,NA
climate-resili,9999.0,180,0,0.0492880613362541,0.0,"climate-resilience, climate-resilient",environmental,0.758,model,1,NA
zero-emiss,9999.0,146,0,0.0399780941949616,0.0,"zero-emission, zero-emissions",environmental,0.653,model,1,NA
hydromorpholog,9999.0,122,0,0.0334063526834611,0.0,"hydromorphologic, hydromorphological",environmental,0.874,model,1,NA
napcp,9999.0,97,0,0.0265607886089813,0.0,"napcp, napcps",environmental,1.0,known_acronym,1,NA
microplast,9999.0,93,0,0.0254654983570646,0.0,"microplastic, microplastics",environmental,0.875,model,1,major pollutant
eutr,9999.0,89,0,0.0243702081051478,0.0,eutr,environmental,1.0,known_acronym,1,NA
necd,9999.0,86,0,0.0235487404162102,0.0,necd,environmental,1.0,known_acronym,1,NA
hydromorphology,9999.0,85,0,0.0232749178532311,0.0,hydromorphology,environmental,0.789,model,1,NA
waterbodi,9999.0,84,0,0.0230010952902519,0.0,"waterbodie, waterbodies",environmental,0.936,model,1,NA
eep,9999.0,84,0,0.0230010952902519,0.0,"eep, eeping, eeps",environmental,1.0,known_acronym,1,NA
env-eir,9999.0,83,0,0.0227272727272727,0.0,env-eir,environmental,0.934,model,1,NA
carbonac,9999.0,75,0,0.0205366922234392,0.0,carbonaceous,environmental,0.791,model,1,"coal, soot, etc."
biomethan,9999.0,74,0,0.02026286966046,0.0,"biomethane, biomethanization",environmental,0.785,model,1,NA
cyanamid,9999.0,72,0,0.0197152245345016,0.0,"cyanamide, cyanamides",environmental,0.688,model,1,nitrogen based fertiliser
taiex-eir,9999.0,71,0,0.0194414019715224,0.0,taiex-eir,environmental,0.515,model,1,NA
squirrel,9999.0,68,0,0.0186199342825848,0.0,"squirrel, squirrels",environmental,0.875,model,1,red-grey debate
envicrimenet,9999.0,67,0,0.0183461117196056,0.0,envicrimenet,environmental,0.97,model,1,NA
old-growth,9999.0,67,0,0.0183461117196056,0.0,old-growth,environmental,0.561,model,1,forests
asphaltit,9999.0,66,0,0.0180722891566265,0.0,asphaltites,environmental,0.746,model,1,road run-off
hydrology,9999.0,66,0,0.0180722891566265,0.0,hydrology,environmental,0.871,model,1,NA
odysse,9999.0,66,0,0.0180722891566265,0.0,odyssee,environmental,0.72,model,1,NA
eufj,9999.0,65,0,0.0177984665936473,0.0,eufje,environmental,0.522,model,1,NA
plant-growth,9999.0,62,0,0.0169769989047097,0.0,plant-growth,environmental,0.948,model,1,NA
