# Author: Katelyn Nutley
# Title: Target Keywords Output from MNIR 
# Date: 02-10-2026

TARGET KEYWORDS
Total search set: 99
Target set size: 23
Non-target set size: 76

1. emiss (emission emissions)    (Recall: 0.43, Precision: 100.0%)
2. synergi (synergies)    (Recall: 0.39, Precision: 100.0%)
3. underpin    (Recall: 0.39, Precision: 100.0%)
4. environmentally    (Recall: 0.35, Precision: 100.0%)
5. urban    (Recall: 0.30, Precision: 100.0%)
6. greenhous (greenhouse)    (Recall: 0.30, Precision: 100.0%)
7. themat (thematic)    (Recall: 0.30, Precision: 100.0%)
8. ex-post    (Recall: 0.26, Precision: 100.0%)
9. summit    (Recall: 0.26, Precision: 100.0%)
10. overarch (overarching)    (Recall: 0.26, Precision: 100.0%)
11. biodiversity    (Recall: 0.26, Precision: 100.0%)
12. applianc (appliances)    (Recall: 0.22, Precision: 100.0%)
13. public-priv (public-private)    (Recall: 0.22, Precision: 100.0%)
14. feasibility    (Recall: 0.22, Precision: 100.0%)
15. household (household households)    (Recall: 0.22, Precision: 100.0%)
16. forthcom (forthcoming)    (Recall: 0.22, Precision: 100.0%)
17. efficiently    (Recall: 0.22, Precision: 100.0%)
18. uptak (uptake)    (Recall: 0.22, Precision: 100.0%)
19. switch (switch switching)    (Recall: 0.17, Precision: 100.0%)
20. preferr (preferred preferring)    (Recall: 0.17, Precision: 100.0%)
21. maritim (maritime)    (Recall: 0.17, Precision: 100.0%)
22. prototyp (prototype prototypes prototyping)    (Recall: 0.17, Precision: 100.0%)
23. rtd    (Recall: 0.17, Precision: 100.0%)
24. transboundary    (Recall: 0.17, Precision: 100.0%)
25. disciplin (discipline disciplines)    (Recall: 0.17, Precision: 100.0%)
26. harm (harm harmful)    (Recall: 0.17, Precision: 100.0%)
27. multi-annu (multi-annual)    (Recall: 0.17, Precision: 100.0%)
28. upcom (upcoming)    (Recall: 0.17, Precision: 100.0%)
29. neighbour (neighbouring neighbours)    (Recall: 0.17, Precision: 100.0%)
30. viabl (viable)    (Recall: 0.17, Precision: 100.0%)
31. atmospher (atmosphere atmospheric)    (Recall: 0.17, Precision: 100.0%)
32. drink (drinking drinks)    (Recall: 0.17, Precision: 100.0%)
33. farm (farm farming farms)    (Recall: 0.17, Precision: 100.0%)
34. resource-effici (resource-efficient)    (Recall: 0.17, Precision: 100.0%)
35. mitigat (mitigating)    (Recall: 0.17, Precision: 100.0%)
36. shortcom (shortcomings)    (Recall: 0.17, Precision: 100.0%)
37. sludg (sludge)    (Recall: 0.13, Precision: 100.0%)
38. lump    (Recall: 0.13, Precision: 100.0%)
39. subsidi (subsidies)    (Recall: 0.13, Precision: 100.0%)
40. market-bas (market-based)    (Recall: 0.13, Precision: 100.0%)
41. up-to-d (up-to-date)    (Recall: 0.13, Precision: 100.0%)
42. aviat (aviation)    (Recall: 0.13, Precision: 100.0%)
43. neutrality    (Recall: 0.13, Precision: 100.0%)
44. military    (Recall: 0.13, Precision: 100.0%)
45. user-friendly    (Recall: 0.13, Precision: 100.0%)
46. prosecutor (prosecutors)    (Recall: 0.13, Precision: 100.0%)
47. policy-mak (policy-making)    (Recall: 0.13, Precision: 100.0%)
48. planet    (Recall: 0.13, Precision: 100.0%)
49. certainly    (Recall: 0.13, Precision: 100.0%)
50. ghg    (Recall: 0.13, Precision: 100.0%)
51. impartiality    (Recall: 0.13, Precision: 100.0%)
52. ecodesign    (Recall: 0.13, Precision: 100.0%)
53. collectively    (Recall: 0.13, Precision: 100.0%)
54. anti-corrupt (anti-corruption)    (Recall: 0.13, Precision: 100.0%)
55. remuner (remuneration)    (Recall: 0.13, Precision: 100.0%)
56. detriment (detrimental)    (Recall: 0.13, Precision: 100.0%)
57. sewag (sewage)    (Recall: 0.13, Precision: 100.0%)
58. mirror (mirror mirrored)    (Recall: 0.13, Precision: 100.0%)
59. baltic    (Recall: 0.13, Precision: 100.0%)
60. ultimately    (Recall: 0.13, Precision: 100.0%)
61. entrepreneurship    (Recall: 0.13, Precision: 100.0%)
62. deeper    (Recall: 0.13, Precision: 100.0%)
