stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words,classification,confidence,method
nature-bas,9999.0,183,0,0.0501095290251916,0.0,"nature-base, nature-based",environmental,0.956,model
climate-resili,9999.0,180,0,0.0492880613362541,0.0,"climate-resilience, climate-resilient",environmental,0.758,model
zero-emiss,9999.0,146,0,0.0399780941949616,0.0,"zero-emission, zero-emissions",environmental,0.653,model
hydromorpholog,9999.0,122,0,0.0334063526834611,0.0,"hydromorphologic, hydromorphological",environmental,0.874,model
basketwar,9999.0,112,0,0.0306681270536692,0.0,basketware,environmental,0.521,model
napcp,9999.0,97,0,0.0265607886089813,0.0,"napcp, napcps",environmental,1.0,known_acronym
microplast,9999.0,93,0,0.0254654983570646,0.0,"microplastic, microplastics",environmental,0.875,model
eutr,9999.0,89,0,0.0243702081051478,0.0,eutr,environmental,1.0,known_acronym
necd,9999.0,86,0,0.0235487404162102,0.0,necd,environmental,1.0,known_acronym
hydromorphology,9999.0,85,0,0.0232749178532311,0.0,hydromorphology,environmental,0.789,model
data-and-map,9999.0,85,0,0.0232749178532311,0.0,data-and-maps,environmental,0.508,model
waterbodi,9999.0,84,0,0.0230010952902519,0.0,"waterbodie, waterbodies",environmental,0.936,model
eep,9999.0,84,0,0.0230010952902519,0.0,"eep, eeping, eeps",environmental,1.0,known_acronym
env-eir,9999.0,83,0,0.0227272727272727,0.0,env-eir,environmental,0.934,model
science-policy,9999.0,79,0,0.0216319824753559,0.0,science-policy,environmental,0.685,model
stroboscop,9999.0,79,0,0.0216319824753559,0.0,"stroboscope, stroboscopes, stroboscopic",environmental,0.582,model
carbonac,9999.0,75,0,0.0205366922234392,0.0,carbonaceous,environmental,0.791,model
electrochem,9999.0,75,0,0.0205366922234392,0.0,electrochemical,environmental,0.546,model
biomethan,9999.0,74,0,0.02026286966046,0.0,"biomethane, biomethanization",environmental,0.785,model
cyanamid,9999.0,72,0,0.0197152245345016,0.0,"cyanamide, cyanamides",environmental,0.688,model
taiex-eir,9999.0,71,0,0.0194414019715224,0.0,taiex-eir,environmental,0.515,model
photomicrography,9999.0,71,0,0.0194414019715224,0.0,photomicrography,environmental,0.612,model
