stem,precision,recall,original_words
emiss,1.0,0.4347826086956521,emiss
environmentally,1.0,0.3478260869565217,environmentally
greenhous,1.0,0.3043478260869565,greenhous
biodiversity,1.0,0.2608695652173913,biodiversity
resource-effici,1.0,0.1739130434782608,resource-effici
mitigat,1.0,0.1739130434782608,mitigat
drink,1.0,0.1739130434782608,drink
atmospher,1.0,0.1739130434782608,atmospher
farm,1.0,0.1739130434782608,farm
maritim,1.0,0.1739130434782608,maritim
ghg,1.0,0.1304347826086956,ghg
biodegrad,1.0,0.1304347826086956,biodegrad
landfil,1.0,0.1304347826086956,landfil
planet,1.0,0.1304347826086956,planet
ecolog,1.0,0.1304347826086956,ecolog
sewag,1.0,0.1304347826086956,sewag
ecodesign,1.0,0.1304347826086956,ecodesign
eco-innov,1.0,0.1304347826086956,eco-innov
pesticid,1.0,0.1304347826086956,pesticid
forest,1.0,0.1304347826086956,forest
sdg,1.0,0.0869565217391304,sdg
land-bas,1.0,0.0869565217391304,land-bas
ipcc,1.0,0.0869565217391304,ipcc
eco-system,1.0,0.0869565217391304,eco-system
eir,1.0,0.0869565217391304,eir
ippc,1.0,0.0869565217391304,ippc
particul,1.0,0.0869565217391304,particul
flar,1.0,0.0869565217391304,flar
flood,1.0,0.0869565217391304,flood
litter,1.0,0.0869565217391304,litter
livestock,1.0,0.0869565217391304,livestock
bird,1.0,0.0869565217391304,bird
nitrat,1.0,0.0869565217391304,nitrat
coastal,1.0,0.0869565217391304,coastal
wetland,1.0,0.0869565217391304,wetland
wind,1.0,0.0869565217391304,wind
tropic,1.0,0.0869565217391304,tropic
eutroph,1.0,0.0869565217391304,eutroph
greener,1.0,0.0869565217391304,greener
aquat,1.0,0.0869565217391304,aquat
natura,1.0,0.0869565217391304,natura
eap,1.0,0.0869565217391304,eap
abm,1.0,0.0869565217391304,abm
unfccc,1.0,0.0869565217391304,unfccc
e-prtr,1.0,0.0869565217391304,e-prtr
re-us,1.0,0.0869565217391304,re-us
solar,1.0,0.0869565217391304,solar
island,1.0,0.0869565217391304,island
decarbonis,1.0,0.0869565217391304,decarbonis
bioga,1.0,0.0869565217391304,bioga
resource-intens,1.0,0.0869565217391304,resource-intens
methan,1.0,0.0869565217391304,methan
anthropogen,1.0,0.0869565217391304,anthropogen
cip,1.0,0.0869565217391304,cip
desertif,1.0,0.0869565217391304,desertif
forestry,1.0,0.0869565217391304,forestry
sustainability,0.9230769230769232,0.5217391304347826,sustainability
pollut,0.875,0.3043478260869565,pollut
environment,0.8695652173913043,0.8695652173913043,environment
reus,0.8,0.1739130434782608,reus
circular,0.8,0.1739130434782608,circular
climat,0.7894736842105263,0.6521739130434783,climat
wast,0.7692307692307693,0.4347826086956521,wast
land,0.75,0.2608695652173913,land
clean,0.75,0.2608695652173913,clean
carbon,0.75,0.2608695652173913,carbon
sink,0.75,0.1304347826086956,sink
habitat,0.75,0.1304347826086956,habitat
fossil,0.75,0.1304347826086956,fossil
fisheri,0.75,0.1304347826086956,fisheri
wild,0.75,0.1304347826086956,wild
environ,0.7407407407407407,0.8695652173913043,environ
conserv,0.7142857142857143,0.217391304347826,conserv
ecosystem,0.7142857142857143,0.217391304347826,ecosystem
mitig,0.7142857142857143,0.217391304347826,mitig
sea,0.7,0.3043478260869565,sea
sustain,0.6923076923076923,0.782608695652174,sustain
fuel,0.6666666666666666,0.3478260869565217,fuel
marin,0.6666666666666666,0.2608695652173913,marin
recycl,0.6666666666666666,0.1739130434782608,recycl
fusion,0.6666666666666666,0.0869565217391304,fusion
flora,0.6666666666666666,0.0869565217391304,flora
resili,0.6666666666666666,0.0869565217391304,resili
earth,0.6666666666666666,0.0869565217391304,earth
fauna,0.6666666666666666,0.0869565217391304,fauna
harvest,0.6666666666666666,0.0869565217391304,harvest
cfm,0.6666666666666666,0.0869565217391304,cfm
fission,0.6666666666666666,0.0869565217391304,fission
cop,0.6666666666666666,0.0869565217391304,cop
thermal,0.6666666666666666,0.0869565217391304,thermal
wastewat,0.6666666666666666,0.0869565217391304,wastewat
plastic,0.6666666666666666,0.0869565217391304,plastic
water,0.6470588235294118,0.4782608695652174,water
green,0.6428571428571429,0.391304347826087,green
soil,0.625,0.217391304347826,soil
substantially,0.6,0.2608695652173913,substantially
ocean,0.6,0.1304347826086956,ocean
emitt,0.6,0.1304347826086956,emitt
river,0.6,0.1304347826086956,river
energy,0.5925925925925926,0.6956521739130435,energy
resourc,0.5806451612903226,0.782608695652174,resourc
field,0.5294117647058824,0.782608695652174,field
agricultur,0.5217391304347826,0.5217391304347826,agricultur
transport,0.5172413793103449,0.6521739130434783,transport
vehicl,0.5,0.217391304347826,vehicl
degrad,0.5,0.1304347826086956,degrad
biolog,0.5,0.1304347826086956,biolog
fish,0.5,0.1304347826086956,fish
basin,0.5,0.0869565217391304,basin
