stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words
nature-bas,9999.0,183,0,0.050109529025191675,0.0,"nature-base, nature-based"
climate-resili,9999.0,180,0,0.04928806133625411,0.0,"climate-resilience, climate-resilient"
pifc,9999.0,150,0,0.04107338444687842,0.0,pifc
zero-emiss,9999.0,146,0,0.039978094194961664,0.0,"zero-emission, zero-emissions"
typescript,9999.0,123,0,0.033680175246440305,0.0,"typescript, typescripts"
hydromorpholog,9999.0,122,0,0.033406352683461114,0.0,"hydromorphologic, hydromorphological"
basketwar,9999.0,112,0,0.03066812705366922,0.0,basketware
reparability,9999.0,98,0,0.02683461117196057,0.0,reparability
napcp,9999.0,97,0,0.02656078860898138,0.0,"napcp, napcps"
ater,9999.0,93,0,0.02546549835706462,0.0,"ater, ateral, aters"
microplast,9999.0,93,0,0.02546549835706462,0.0,"microplastic, microplastics"
rrp,9999.0,92,0,0.025191675794085433,0.0,"rrp, rrps"
eutr,9999.0,89,0,0.024370208105147863,0.0,eutr
necd,9999.0,86,0,0.023548740416210297,0.0,necd
hydromorphology,9999.0,85,0,0.023274917853231106,0.0,hydromorphology
data-and-map,9999.0,85,0,0.023274917853231106,0.0,data-and-maps
waterbodi,9999.0,84,0,0.023001095290251915,0.0,"waterbodie, waterbodies"
eep,9999.0,84,0,0.023001095290251915,0.0,"eep, eeping, eeps"
env-eir,9999.0,83,0,0.022727272727272728,0.0,env-eir
cut-back,9999.0,80,0,0.02190580503833516,0.0,"cut-back, cut-backs"
science-policy,9999.0,79,0,0.02163198247535597,0.0,science-policy
ppa,9999.0,79,0,0.02163198247535597,0.0,"ppa, ppas"
stroboscop,9999.0,79,0,0.02163198247535597,0.0,"stroboscope, stroboscopes, stroboscopic"
strung,9999.0,76,0,0.0208105147864184,0.0,strung
carbonac,9999.0,75,0,0.02053669222343921,0.0,carbonaceous
electrochem,9999.0,75,0,0.02053669222343921,0.0,electrochemical
biomethan,9999.0,74,0,0.020262869660460023,0.0,"biomethane, biomethanization"
cyanamid,9999.0,72,0,0.019715224534501644,0.0,"cyanamide, cyanamides"
searchlight,9999.0,72,0,0.019715224534501644,0.0,"searchlight, searchlights"
flashbulb,9999.0,72,0,0.019715224534501644,0.0,flashbulbs
taiex-eir,9999.0,71,0,0.019441401971522453,0.0,taiex-eir
photomicrography,9999.0,71,0,0.019441401971522453,0.0,photomicrography
scintigraph,9999.0,70,0,0.019167579408543262,0.0,scintigraphic
psychromet,9999.0,69,0,0.018893756845564075,0.0,psychrometers
pedomet,9999.0,69,0,0.018893756845564075,0.0,pedometers
unccd,9999.0,68,0,0.018619934282584884,0.0,unccd
de-institutionalis,9999.0,68,0,0.018619934282584884,0.0,"de-institutionalisation, de-institutionalise, de-institutionalised, de-institutionalising"
deinstitutionalis,9999.0,68,0,0.018619934282584884,0.0,"deinstitutionalisation, deinstitutionalise, deinstitutionalised"
cinephotomicrography,9999.0,68,0,0.018619934282584884,0.0,cinephotomicrography
squirrel,9999.0,68,0,0.018619934282584884,0.0,"squirrel, squirrels"
marking-out,9999.0,68,0,0.018619934282584884,0.0,marking-out
envicrimenet,9999.0,67,0,0.018346111719605696,0.0,envicrimenet
