stem,precision,recall,target_count,non_target_count,original_words
emiss,1.0,0.43478260869565216,10,0,"emission, emissions"
underpin,1.0,0.391304347826087,9,0,underpin
synergi,1.0,0.391304347826087,9,0,synergies
environmentally,1.0,0.34782608695652173,8,0,environmentally
urban,1.0,0.30434782608695654,7,0,urban
themat,1.0,0.30434782608695654,7,0,thematic
greenhous,1.0,0.30434782608695654,7,0,greenhouse
ex-post,1.0,0.2608695652173913,6,0,ex-post
biodiversity,1.0,0.2608695652173913,6,0,biodiversity
overarch,1.0,0.2608695652173913,6,0,overarching
summit,1.0,0.2608695652173913,6,0,summit
household,1.0,0.21739130434782608,5,0,"household, households"
efficiently,1.0,0.21739130434782608,5,0,efficiently
feasibility,1.0,0.21739130434782608,5,0,feasibility
forthcom,1.0,0.21739130434782608,5,0,forthcoming
applianc,1.0,0.21739130434782608,5,0,appliances
uptak,1.0,0.21739130434782608,5,0,uptake
public-priv,1.0,0.21739130434782608,5,0,public-private
disciplin,1.0,0.17391304347826086,4,0,"discipline, disciplines"
transboundary,1.0,0.17391304347826086,4,0,transboundary
preferr,1.0,0.17391304347826086,4,0,"preferred, preferring"
prototyp,1.0,0.17391304347826086,4,0,"prototype, prototypes, prototyping"
resource-effici,1.0,0.17391304347826086,4,0,resource-efficient
rtd,1.0,0.17391304347826086,4,0,rtd
multi-annu,1.0,0.17391304347826086,4,0,multi-annual
neighbour,1.0,0.17391304347826086,4,0,"neighbouring, neighbours"
upcom,1.0,0.17391304347826086,4,0,upcoming
mitigat,1.0,0.17391304347826086,4,0,mitigating
drink,1.0,0.17391304347826086,4,0,"drinking, drinks"
atmospher,1.0,0.17391304347826086,4,0,"atmosphere, atmospheric"
shortcom,1.0,0.17391304347826086,4,0,shortcomings
viabl,1.0,0.17391304347826086,4,0,viable
farm,1.0,0.17391304347826086,4,0,"farm, farming, farms"
maritim,1.0,0.17391304347826086,4,0,maritime
switch,1.0,0.17391304347826086,4,0,"switch, switching"
harm,1.0,0.17391304347826086,4,0,"harm, harmful"
disast,1.0,0.13043478260869565,3,0,"disaster, disasters"
sludg,1.0,0.13043478260869565,3,0,sludge
subsidi,1.0,0.13043478260869565,3,0,subsidies
entrepreneurship,1.0,0.13043478260869565,3,0,entrepreneurship
asylum,1.0,0.13043478260869565,3,0,asylum
terror,1.0,0.13043478260869565,3,0,terrorism
deeper,1.0,0.13043478260869565,3,0,deeper
ghg,1.0,0.13043478260869565,3,0,ghg
firmly,1.0,0.13043478260869565,3,0,firmly
biodegrad,1.0,0.13043478260869565,3,0,biodegradable
policy-mak,1.0,0.13043478260869565,3,0,policy-making
landfil,1.0,0.13043478260869565,3,0,"landfill, landfilling, landfills"
impartiality,1.0,0.13043478260869565,3,0,impartiality
up-to-d,1.0,0.13043478260869565,3,0,up-to-date
unsustain,1.0,0.13043478260869565,3,0,unsustainable
military,1.0,0.13043478260869565,3,0,military
exposur,1.0,0.13043478260869565,3,0,"exposure, exposures"
metrology,1.0,0.13043478260869565,3,0,metrology
planet,1.0,0.13043478260869565,3,0,planet
transposit,1.0,0.13043478260869565,3,0,transposition
ecolog,1.0,0.13043478260869565,3,0,ecological
sewag,1.0,0.13043478260869565,3,0,sewage
prosecutor,1.0,0.13043478260869565,3,0,prosecutors
remuner,1.0,0.13043478260869565,3,0,remuneration
medium-siz,1.0,0.13043478260869565,3,0,medium-sized
cross-sector,1.0,0.13043478260869565,3,0,"cross-sector, cross-sectoral"
lump,1.0,0.13043478260869565,3,0,lump
redirect,1.0,0.13043478260869565,3,0,"redirected, redirecting"
stori,1.0,0.13043478260869565,3,0,stories
trans-nat,1.0,0.13043478260869565,3,0,trans-national
three-year,1.0,0.13043478260869565,3,0,three-year
behind,1.0,0.13043478260869565,3,0,behind
baltic,1.0,0.13043478260869565,3,0,baltic
ultimately,1.0,0.13043478260869565,3,0,ultimately
ecodesign,1.0,0.13043478260869565,3,0,ecodesign
audio-visu,1.0,0.13043478260869565,3,0,audio-visual
